Path Length: 55.32 meters
----------------------------------------
Path Coordinates and Time:
(-124.19, 46.22, 27.50) | Time: 54.00
(-124.10, 46.43, 27.06) | Time: 55.00
(-123.24, 47.99, 26.08) | Time: 56.00
(-122.35, 50.35, 24.40) | Time: 57.00
(-121.36, 52.70, 23.23) | Time: 58.00
(-119.87, 54.85, 22.05) | Time: 59.00
(-117.92, 56.85, 20.85) | Time: 60.00
(-115.64, 58.64, 19.66) | Time: 61.00
(-113.65, 60.60, 18.56) | Time: 62.00
(-111.72, 62.62, 17.49) | Time: 63.00
(-109.81, 64.61, 16.46) | Time: 64.00
(-107.87, 66.64, 15.45) | Time: 65.00
(-105.82, 68.58, 14.49) | Time: 66.00
(-103.33, 70.29, 13.59) | Time: 67.00
(-100.82, 71.91, 12.17) | Time: 68.00
(-98.34, 73.53, 10.41) | Time: 69.00
(-95.80, 75.17, 8.75) | Time: 70.00
(-93.27, 76.81, 6.89) | Time: 71.00
(-89.96, 77.21, 5.04) | Time: 72.00
(-86.79, 78.13, 3.16) | Time: 73.00
(-87.14, 78.28, 1.38) | Time: 74.00
(-88.06, 78.28, -1.26) | Time: 75.00
(-87.84, 78.28, -4.76) | Time: 76.00
(-87.73, 78.28, -8.22) | Time: 77.00
(-87.33, 78.28, -11.75) | Time: 78.00
(-86.65, 78.28, -15.44) | Time: 79.00
(-85.68, 78.28, -19.64) | Time: 80.00
(-84.47, 77.59, -23.91) | Time: 81.00
(-83.04, 75.24, -28.13) | Time: 82.00
(-81.39, 72.90, -32.28) | Time: 83.00
(-79.56, 70.55, -36.32) | Time: 84.00
(-77.95, 68.20, -39.46) | Time: 85.00
(-76.73, 65.90, -41.66) | Time: 86.00
(-75.68, 65.10, -43.46) | Time: 87.00
(-75.13, 65.10, -44.34) | Time: 88.00
(-75.10, 65.10, -44.40) | Time: 89.00
(-75.10, 65.10, -44.40) | Time: 90.00
(-75.09, 65.10, -44.41) | Time: 91.00
(-75.07, 65.10, -44.44) | Time: 92.00
----------------------------------------
Task Completion Time: 92.04 seconds
Start Time: Second 0.02
End Time: Second 92.06
----------------------------------------
Preciseness: 1.41 meters
----------------------------------------
Collision Logs:
Collision with: SM_Prop_Rubbish_Papers_02, Time: 0.81, Position: (-127.45, 29.10, 27.50)
Collision with: SM_Bld_Concrete_Floor_03 (6)_B1, Time: 0.81, Position: (-127.45, 29.10, 27.50)
Collision with: SM_Bld_Concrete_Floor_03 (6)_B1, Time: 0.81, Position: (-127.45, 29.10, 27.50)
Collision with: SM_Bld_Concrete_Floor_03 (6)_B1, Time: 55.66, Position: (-124.51, 29.45, 31.14)
Collision with: SM_Bld_Concrete_Floor_03 (6)_B1, Time: 55.66, Position: (-124.51, 29.45, 31.14)
Collision with: SM_Bld_Concrete_Floor_03 (6)_B1, Time: 55.82, Position: (-121.31, 32.97, 31.02)
Collision with: SM_Bld_Concrete_Floor_03 (6)_B1, Time: 55.82, Position: (-121.31, 32.97, 31.02)
Collision with: SM_Bld_Concrete_Floor_03 (6)_B1, Time: 55.83, Position: (-121.28, 32.95, 31.02)
Collision with: SM_Bld_Concrete_Floor_03 (6)_B1, Time: 55.83, Position: (-121.28, 32.95, 31.02)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.11, Position: (-117.70, 41.30, 22.72)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.11, Position: (-117.70, 41.30, 22.72)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.20, Position: (-117.71, 41.49, 22.63)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.20, Position: (-117.71, 41.49, 22.63)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.25, Position: (-117.70, 41.60, 22.58)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.25, Position: (-117.70, 41.60, 22.58)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.27, Position: (-117.69, 41.64, 22.56)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.27, Position: (-117.69, 41.64, 22.56)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.34, Position: (-117.68, 41.74, 22.49)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.34, Position: (-117.68, 41.74, 22.49)
Collision with: SM_Bld_Concrete_Floor_03 (11)_B3, Time: 60.35, Position: (-117.67, 41.77, 22.48)
